Wavelength(nm),Slot0Ch1,Slot0Ch3,Monitor
1500.0,-1.0398178100585938,-34.455238342285156,-5.556816577911377
1500.1,-1.039050579071045,-34.36045455932617,-5.555661201477051
1500.2,-1.0378985404968262,-34.41069030761719,-5.571866989135742
1500.3,-1.035051703453064,-34.46715545654297,-5.5728983879089355
1500.4,-1.0346007347106934,-34.52375030517578,-5.568003177642822
1500.5,-1.0400699377059937,-34.63697052001953,-5.573413848876953
1500.6,-1.0419049263000488,-34.554195404052734,-5.589816093444824
1500.7,-1.0399351119995117,-34.454402923583984,-5.582963466644287
1500.8,-1.0441173315048218,-34.425331115722656,-5.57302713394165
1500.9,-1.0436235666275024,-34.44375991821289,-5.58309268951416
1501.0,-1.039136290550232,-34.46400451660156,-5.592145919799805
1501.1,-1.0395139455795288,-34.44708251953125,-5.593570232391357
1501.2,-1.0389469861984253,-34.49819564819336,-5.594736099243164
1501.3,-1.0322116613388062,-34.47963333129883,-5.594865798950195
1501.4,-1.027878999710083,-34.34018325805664,-5.594088554382324
1501.5,-1.0339562892913818,-34.31511688232422,-5.598105430603027
1501.6,-1.0428780317306519,-34.35729217529297,-5.594088554382324
1501.7,-1.053389310836792,-34.32880401611328,-5.61108922958374
1501.8,-1.072664499282837,-34.27656936645508,-5.629462242126465
1501.9,-1.088371992111206,-34.32067108154297,-5.627634525299072
1502.0,-1.0970420837402344,-34.46816635131836,-5.62711238861084
1502.1,-1.1027319431304932,-34.43757247924805,-5.640183448791504
1502.2,-1.1086111068725586,-34.368221282958984,-5.646995544433594
1502.3,-1.1113759279251099,-34.41026306152344,-5.626720905303955
1502.4,-1.1132036447525024,-34.3876838684082,-5.637304306030273
1502.5,-1.1169161796569824,-34.442508697509766,-5.659205913543701
1502.6,-1.1206226348876953,-34.427608489990234,-5.653555870056152
1502.7,-1.1268548965454102,-34.36916732788086,-5.65079927444458
1502.8,-1.1317147016525269,-34.48086166381836,-5.672242164611816
1502.9,-1.131818413734436,-34.52006912231445,-5.673429489135742
1503.0,-1.1303123235702515,-34.41510009765625,-5.659074783325195
1503.1,-1.126547932624817,-34.51306915283203,-5.658285617828369
1503.2,-1.1192761659622192,-34.56618881225586,-5.663941860198975
1503.3,-1.113295316696167,-34.58232879638672,-5.645291328430176
